Date,STH SaaS Index,S&P 500,Nasdaq NDXT
6/21/2023 16:00:00,-26.08%,-0.45%,-4.04%
6/22/2023 16:00:00,-28.42%,-0.97%,-6.40%
6/23/2023 16:00:00,-27.74%,-0.60%,-5.65%
6/26/2023 16:00:00,-28.62%,-1.37%,-7.09%
6/27/2023 16:00:00,-29.62%,-1.82%,-7.31%
6/28/2023 16:00:00,-27.85%,-0.67%,-4.42%
6/29/2023 16:00:00,-26.83%,-0.71%,-4.62%
6/30/2023 16:00:00,-27.14%,-0.26%,-4.83%
7/3/2023 13:05:00,-25.77%,0.97%,-3.43%
7/5/2023 16:00:00,-26.19%,1.09%,-3.12%
7/6/2023 16:00:00,-26.28%,0.89%,-4.08%
7/7/2023 16:00:00,-27.62%,0.10%,-5.50%
7/10/2023 16:00:00,-27.81%,-0.19%,-5.48%
7/11/2023 16:00:00,-25.18%,0.05%,-3.31%
7/12/2023 16:00:00,-23.97%,0.72%,-3.06%
7/13/2023 16:00:00,-23.37%,1.47%,-2.23%
7/14/2023 16:00:00,-20.82%,2.31%,0.04%
7/17/2023 16:00:00,-21.35%,2.21%,-0.44%
7/18/2023 16:00:00,-19.66%,2.60%,1.43%
7/19/2023 16:00:00,-18.39%,3.31%,1.82%
7/20/2023 16:00:00,-17.84%,3.54%,1.43%
7/21/2023 16:00:00,-21.39%,2.87%,-1.97%
7/24/2023 16:00:00,-21.43%,2.90%,-1.26%
7/25/2023 16:00:00,-22.01%,3.30%,-1.41%
7/26/2023 16:00:00,-20.78%,3.58%,0.08%
7/27/2023 16:00:00,-20.91%,3.57%,-0.54%
7/28/2023 16:00:00,-21.88%,2.93%,0.43%
7/31/2023 16:00:00,-19.81%,3.91%,2.49%
8/1/2023 16:00:00,-17.74%,4.06%,3.24%
8/2/2023 16:00:00,-17.82%,3.79%,3.36%
8/3/2023 16:00:00,-23.18%,2.41%,-0.60%
8/4/2023 16:00:00,-24.02%,2.16%,-0.53%
8/7/2023 16:00:00,-24.38%,1.63%,-1.64%
8/8/2023 16:00:00,-23.92%,2.53%,-0.96%
8/9/2023 16:00:00,-26.44%,2.11%,-2.80%
8/10/2023 16:00:00,-27.52%,1.40%,-4.04%
8/11/2023 16:00:00,-26.56%,1.43%,-3.67%
8/14/2023 16:00:00,-26.67%,1.32%,-5.15%
8/15/2023 16:00:00,-25.49%,1.90%,-3.27%
8/16/2023 16:00:00,-26.66%,0.74%,-4.88%
8/17/2023 16:00:00,-27.33%,-0.01%,-6.27%
8/18/2023 16:00:00,-29.36%,-0.79%,-7.42%
8/21/2023 16:00:00,-28.78%,-0.80%,-7.07%
8/22/2023 16:00:00,-27.42%,-0.11%,-4.70%
8/23/2023 16:00:00,-27.11%,-0.39%,-5.23%
8/24/2023 16:00:00,-25.31%,0.71%,-3.37%
8/25/2023 16:00:00,-27.91%,-0.63%,-6.16%
8/28/2023 16:00:00,-25.83%,0.04%,-4.88%
8/29/2023 16:00:00,-25.66%,0.67%,-4.19%
8/30/2023 16:00:00,-23.58%,2.12%,-1.51%
8/31/2023 16:00:00,-22.36%,2.50%,-0.69%
9/1/2023 16:00:00,-20.49%,2.34%,0.43%
9/5/2023 16:00:00,-19.48%,2.52%,1.04%
9/6/2023 16:00:00,-19.35%,2.10%,1.38%
9/7/2023 16:00:00,-19.60%,1.40%,1.08%
9/8/2023 16:00:00,-19.66%,1.08%,-0.07%
9/11/2023 16:00:00,-20.23%,1.23%,-0.27%
9/12/2023 16:00:00,-19.06%,1.90%,0.64%
9/13/2023 16:00:00,-21.19%,1.33%,-0.77%
9/14/2023 16:00:00,-21.99%,1.45%,-0.51%
