Cumulative return,Cumulative return,Cumulative return
STH SaaS Index,S&P 500,Nasdaq NDXT
-10.23%,8.17%,15.10%
-10.94%,7.61%,14.29%
-10.17%,8.49%,16.12%
-8.67%,9.72%,18.85%
-7.24%,9.94%,19.58%
-6.81%,10.23%,19.98%
-7.23%,10.32%,20.66%
-7.27%,10.84%,20.56%
-6.98%,10.78%,19.12%
-3.92%,11.53%,20.43%
-4.44%,11.47%,19.41%
-7.08%,9.86%,17.63%
-6.07%,11.11%,18.56%
-5.14%,12.18%,19.91%
-6.39%,11.86%,19.87%
-6.19%,12.09%,19.35%
-4.57%,12.92%,21.15%
-3.03%,12.97%,22.24%
-1.10%,13.55%,23.99%
-2.88%,13.45%,23.38%
-5.40%,12.09%,21.29%
-2.64%,13.04%,23.19%
-2.94%,13.63%,23.14%
-4.82%,13.14%,22.00%
-6.65%,12.54%,21.00%
-9.19%,12.67%,19.19%
-6.88%,14.78%,22.88%
-6.11%,14.82%,22.49%
-5.27%,14.44%,23.11%
-5.21%,14.61%,23.28%
-5.71%,14.44%,22.41%
-4.91%,14.97%,23.92%
-4.93%,15.77%,25.79%
-5.53%,15.65%,25.79%
-9.95%,14.63%,23.21%
-8.67%,15.14%,24.59%
-7.48%,16.17%,26.60%
-8.42%,15.52%,24.07%
-8.33%,15.41%,23.53%
-6.95%,16.53%,25.18%
-7.29%,16.34%,23.86%
-8.19%,16.05%,22.96%
-11.49%,15.40%,21.49%
-10.21%,16.03%,22.23%
-9.82%,16.60%,22.26%
-8.47%,17.49%,23.71%
-8.28%,17.81%,24.67%
-8.87%,17.67%,24.40%
-9.16%,17.37%,23.86%
-8.66%,17.09%,23.72%
-8.82%,17.95%,24.24%
-8.77%,18.06%,24.17%
-9.34%,17.86%,24.59%
-10.92%,17.14%,23.49%
-11.03%,17.24%,23.72%
-11.57%,16.01%,21.79%
-10.07%,17.12%,23.11%
-9.55%,17.08%,23.13%
-9.06%,17.23%,24.02%
-11.01%,16.28%,22.51%
-10.12%,17.03%,24.23%
-12.06%,15.57%,21.76%
-15.13%,14.37%,19.94%
-15.02%,14.16%,20.28%
-15.64%,13.59%,18.34%
-15.88%,13.37%,17.32%
-17.39%,12.49%,15.09%
-16.06%,13.36%,16.48%
-13.46%,14.56%,18.52%
-13.27%,14.58%,19.20%
-14.55%,14.12%,19.18%
-13.36%,15.14%,20.82%
-13.52%,15.46%,20.66%
-16.25%,13.89%,18.73%
-16.05%,13.54%,17.17%
-15.74%,14.46%,18.70%
-14.74%,15.71%,20.14%
-13.32%,16.75%,21.45%
-13.76%,16.88%,21.08%
-15.39%,16.88%,20.94%
-15.54%,17.39%,20.71%
-15.29%,17.55%,21.23%
-14.74%,17.53%,21.73%
-14.48%,18.01%,22.44%
-11.38%,19.18%,24.80%
-11.64%,18.98%,24.63%
-11.27%,19.09%,24.47%
-10.26%,19.18%,25.76%
-10.89%,19.44%,25.32%
-11.34%,19.16%,25.90%
-12.87%,18.43%,25.21%
-14.95%,19.13%,25.72%
-15.50%,19.15%,25.51%
-15.65%,18.41%,24.27%
-21.58%,17.82%,22.43%
-22.19%,18.62%,21.61%
-23.08%,18.73%,21.60%
-22.78%,18.88%,21.16%
-21.00%,20.07%,24.10%
-20.40%,20.05%,23.81%
-20.62%,19.94%,23.76%
-20.22%,20.19%,24.90%
-19.86%,20.46%,25.45%
-18.87%,21.31%,27.47%
-20.95%,21.55%,27.12%
-19.18%,21.51%,27.37%
-19.70%,22.28%,28.65%
-20.38%,22.53%,28.95%
-20.02%,22.28%,27.57%
-18.27%,22.12%,27.66%
-18.85%,21.81%,26.16%
-18.20%,22.21%,27.18%
-17.84%,22.36%,27.25%
-15.26%,22.45%,27.74%
-14.41%,22.05%,28.12%
-13.87%,22.31%,28.51%
-13.76%,22.93%,29.54%
-13.40%,23.44%,30.27%
-12.39%,23.99%,31.44%
-13.59%,24.09%,31.67%
-15.78%,24.16%,31.00%
-17.38%,25.18%,32.09%
-16.71%,24.31%,30.10%
-15.61%,24.86%,31.41%
-14.71%,25.14%,31.62%
-13.57%,25.78%,32.10%
-15.16%,24.39%,27.96%
-17.00%,23.61%,27.06%
-17.34%,22.89%,25.58%
-16.96%,23.97%,27.55%
-16.33%,23.81%,26.71%
-19.86%,21.50%,22.49%
-16.72%,20.99%,21.72%
-16.36%,22.09%,22.97%
-17.04%,22.18%,22.89%
-18.04%,21.68%,20.81%
-16.97%,23.26%,24.30%
-19.42%,21.89%,20.19%
-22.31%,20.05%,15.74%
-24.80%,17.05%,13.70%
-23.82%,18.09%,14.86%
-23.92%,17.32%,14.21%
-21.12%,19.62%,18.56%
-20.57%,20.09%,18.76%
-20.97%,20.09%,18.69%
-18.66%,21.78%,21.52%
-18.46%,22.16%,21.65%
-16.38%,23.77%,24.91%
-16.05%,23.97%,24.99%
-14.69%,24.94%,26.31%
-15.15%,24.75%,25.72%
-14.23%,25.17%,26.83%
-15.93%,24.28%,24.53%
-15.00%,25.42%,25.92%
-14.91%,25.11%,24.01%
-14.74%,25.27%,24.43%
-16.32%,24.67%,22.87%
-14.78%,24.67%,23.83%
-13.99%,25.68%,25.94%
-16.17%,23.56%,21.50%
-16.75%,23.40%,20.66%
-16.95%,23.10%,20.23%
-18.65%,21.37%,17.64%
-17.39%,22.53%,18.95%
-17.33%,22.98%,19.52%
-15.96%,24.05%,22.16%
-15.54%,24.79%,22.03%
-15.75%,25.34%,22.77%
-15.48%,25.46%,22.50%
-15.85%,25.49%,22.33%
-16.03%,25.20%,21.60%
-13.29%,26.90%,24.57%
-13.05%,26.70%,23.91%
-13.17%,26.98%,24.24%
-13.12%,27.23%,24.89%
-14.14%,27.05%,24.90%
-13.90%,27.45%,26.91%
-14.07%,27.33%,26.43%
